ts	phase	decision	rationale	evidence	result
2026-05-28	A-frame	Widen the dynamic surface and skills; turn the admission cap into an elastic queue rather than raising it	User chose "widen surface+skills, cap as elastic queue": keep the 4GB/agent RAM ceiling exact, overflow queues instead of denying, widen what the model can express (loops/branches/recursion) and which skills it loads	user direction (AskUserQuestion)	binding
2026-05-28	A-frame	Full push: durability + observability included (all units 0-6)	User chose "full push incl. durability + observability" over a narrower slice	user direction (AskUserQuestion)	binding
2026-05-28	A-frame	Integrator hand-writes critical-path units; the fleet dogfoods the rest	User chose "I do critical-path units, fleet dogfoods the rest"; critical-path files (dispatcher/runner/admission/program-runtime/cli/hooks/phases/CI/pyproject/uv.lock) are integrator-only	user direction (AskUserQuestion)	binding
2026-05-28	B-sketch	Ran the arena as 3 isolated candidates across three contested axes (where dynamic control lives / elastic-bound shape / event-log role)	Architect Phase B prescribes whole-shape diversity; CLAUDE.md + task arg forbid Opus subagents, so diversity came from forced-distinct biases on sonnet runners judged by the Opus main thread (documented deviation)	/tmp/v0.11.0-arena/candidate-1.md, candidate-2.md, candidate-3.md	3 candidates produced
2026-05-28	B-sketch	Synthesis: base C1 (minimal seam); graft C3 closed-branch-keys + typed sealed events; graft C2 pure fold + journaled-verdict replay	C1 has the smallest blast radius and clean unit decomposition; C3's closed-key branch kills the unguarded-verdict failure mode; C2's fold + verdict-replay makes resume exact	docs/v0.11.0-design.md	design contract shipped
2026-05-28	B-sketch	Reject C2 asyncio CentralScheduler and C3 SQLite store + first-class GraphSpec	asyncio is too much blast radius for a sync codebase; SQLite is a new NFS-unsafe dependency; the full graph is more than the predicate needs. Graph retained as the explicit Phase-E scrap-and-regrow fallback	docs/v0.11.0-design.md	deferred, not discarded
2026-05-28	B-sketch	Foundational insight: the reserved=1 arithmetic does not move to one place, it stops existing	Because CapacityGate wraps the same AdmissionController the parent was admitted through, the parent's 4GB is already counted in in_flight_ram_gb; the shared RAM accounting already reserves the parent's slot	docs/v0.11.0-design.md (Shape / Elastic bound)	drives Unit 3
2026-05-29	C-unit0	Built committed verification harness measuring all four predicate dimensions; captured the pre-change baseline	figure-it-out: build the harness before the work so each later unit reads as a measured old-vs-new delta; reuse the proven real-FleetDispatcher load test (zero composer cost)	scripts/v0_11_0_verify.py, docs/v0.11.0-baseline.txt	VERIFIED baseline
2026-05-29	C-unit0	Baseline: D1 width=5 (replan/branch/subprogram absent); D2 reserved=1 sites=3, CapacityGate absent, bounded load 0 denials vs negative-control 6 denials; D3 resume absent; D4 journal-query absent	The negative control reproducing 6 denials proves the harness can see the thing it measures; gates clean (ruff pass, ty 52 = baseline, 575 passed/4 skipped)	docs/v0.11.0-baseline.txt	baseline locked
2026-05-29	C-unit3-ground	Refine Unit 3 sketch: the gate edit lands in _execute_task (the real admit/deny site), not "the three producers call the gate"; name it AdmissionGate, not CapacityGate	Producers only size thread pools via effective_capacity; the actual try_admit-or-deny is dispatcher.py:558-570, where None becomes the admission.denied error. A blocking AdmissionGate.acquire() there turns deny into queue. FleetCapacityGate already exists in capacity/gate.py as a distinct cross-process watcher gate, so a second "CapacityGate" would collide	agent_fleet/dispatcher.py:558-570, agent_fleet/capacity/gate.py:57, agent_fleet/admission.py:3	plan refined
2026-05-29	C-unit3-ground	One-way door identified: the parent task holds its admission token across nested child dispatch, so a blocking gate can deadlock when cap <= ancestor tokens	Token acquired at dispatcher.py:558 and released at 827; nested dispatch_dag/program runs in between holding it (the e2e "parent holds 1, production invariant"). Progress needs cap > ancestors: cap>=2 safe at one level, MAX_SUBPROGRAM_DEPTH < cap must be encoded for Unit 4 recursion. Settle the parent-slot-during-decomposition decision before the gate ships	agent_fleet/dispatcher.py:556-570,827	identified
2026-05-29	C-unit3-design	Resolve the door: keep the parent token held, nested children queue on AdmissionGate, encode cap > nesting depth (cap>=2 at one level); preserve today's deny for the degenerate cap<2 nesting case as a boolean can-nest guard	Matches the design doc claim that shared RAM accounting already reserves the parent's slot. cap>=2 guarantees >=1 free child slot so the queue drains; cap<2 keeps the existing deny path (a boolean, not a pool-size) so there is no permanent block and no test hang. The harness confirms it: at cap=3 today peak=2 (parent holds 1, children get cap-1), and the gate preserves peak=2 / 0 denied / 8 completed while dropping the 3 reserved sites. MAX_SUBPROGRAM_DEPTH < cap to be encoded with Unit 4	docs/v0.11.0-design.md (Elastic bound), agent_fleet/dispatcher.py:558-570	design settled; implement next
